Kecamatan;Kelurahan;Tanggal;Lokasi Kebakaran;Benda;Penyebab Kebakaran;Nilai;Luas Areal (M2)
Cibeunying Kidul;Cicadas;02 Januari 2020;Jl. Asep Belian Gg. Bnnga 7 RT 04 RW 15;5 Buah Rumah 6 Buah Sepeda Motor 1 Sepeda;Masih Dalam Penyelidikan;1025000000;160
Arcamanik;Sukamiskin;04 Januari 2020;Jl. Pacuan Kuda No. 63 ;Sebuah Studio On Air Bandung TV;Masih Dalam Penyelidikan;12000000;40
Batununggal;Binong;04 Januari 2020;Jl. Binong Jati Gg. Kurnia III RT 04 RW 03;Sebuah Rumah Bagian Kamar;Masih Dalam Penyelidikan;12000000;6
Bojongloa Kaler;Babakan Tarogong;06 Januari 2020;Jl. Babakan Irigasi Gg. AMD No.10;Sebuah Rumah Bagian Atap;Korsleting Listrik;3000000;42
Lengkong;Malabar;07 Januari 2020;Jl. Jend. Ahmad Yani No. 202;Sebuah Gedung D' Fasion ( Lantai 1 );Masih Dalam Penyelidikan;-;100
Rancasari;Manjahlega;07 Januari 2020;Jl. Soekarno Hatta ( Depan Ayam Bakar;Sebuah Kendaraan Roda 4  ( CR-V D 1879 HI );Korsleting Listrik;200000000;-
Bandung Kulon;Warung Muncang;13 Januari 2020;Jl. Soekarno Hatta Gg. Cibuntu Tengah 2;Sebuah Gardu Listrik;Korsleting Listrik;-;1
Coblong;Cipaganti;13 Januari 2020;Persimpangan Cipaganti - Pasteur ( Bawah Fly Over Pasopati );Pengecekan Kepulan Asap Dibawah Aspal;Masih Dalam Penyelidikan;-;2
Babakan Ciparay;Babakan;14 Januari 2020;Jl. Terusan Suryani Gg. Abadi Dalam ;Sebuah Rumah Kosong di Jadikan Gudang Barang dan 1 Unit Kendaraan Roda 2;Masih Dalam Penyelidikan;30000000;90
Babakan Ciparay;Babakan Ciparay;16 Januari 2020;Jl. Makam Caringin Porip 6 RT 09 RW 03;2 (Dua) Buah Rumah Kontrakan;Diduga Dari Kebocoran Tabung Gas;60000000;60
Bandung Kulon;Cigondewah Kaler;20 Januari 2020;PT. JEMPOL PLASTIK Jl. Paralon II No. 9 RT 11 RW 01;Sebuah Pabrik (Bagian Atap) Tumpukan Bahan Pengolahan Plastik dan Mesin Pengolahan;Diduga Dari Mesin  Pengolahan Masih Panas;20000000;300
Regol;Ciateul;20 Januari 2020;Jl. Moch Ramdhan No. 76 RT 04 RW 06;Genset PLN Didepan Bangunan Karaoke Platinum;Masih Dalam Penyelidikan;5000000;6
Lengkong;Malabar;21 Januari 2020;Jl. Cipaera No. 132 RT 05 RW 02;Sebuah Tiang Listrik;Masih Dalam Penyelidikan;1000000;-
Babakan Ciparay;Babakan Ciparay;25 Januari 2020;Jl. Soekarno Hatta 220 RT 01 RW 04;Sebuah Pasar 48 Jongko Sayuran dan Hasil Bumi Blok E1;Masih Dalam Penyelidikan;400000000;576
Andir;Garuda;26 Januari 2020;Jl. Garuda No. 64 A ;Sebuah Kendaraan Roda 2 Motor Vega R (D 3449 XR);Masih Dalam Penyelidikan;2000000;-
Bojongloa Kaler;Kopo;26 Januari 2020;Jl. Kopo Gg. Babakan Rahayu No. 9 ;Sebuah Pabrik Roti Mekarsari 99;Masih Dalam Penyelidikan;600000000;160
Bojongloa Kidul;Situsaeur;29 Januari 2020;RS Immanuel Jl. Kopo No. 161 ;Sebuah Panel Instalasi Listrik ;Masih Dalam Penyelidikan;5000000;16
Cicendo;Sukaraja;09 Februari 2020;Jl. Gunung Batu No. 41 RT 01 RW 09;Sebuah Rumah Makan Bakmi Jawa;Masih Dalam Penyelidikan;25000000;10
Bandung Wetan;Citarum;11 Februari 2020;Jl. R. E MaRT adinata No. 59 (Kantor OTMIL II-08);Sebuah Ruang kerja dan Dapur  (Bagian Atap);Masih Dalam Penyelidikan;100000000;50
Batununggal;Kacapiring;11 Februari 2020;Jl. Sukabumi Dalam Gg. Mercedes No. 186 RT 05 RW 06;Penanganan Tabung Gas Bocor;Masih Dalam Penyelidikan;200000;-
Cidadap;Ciumbuleuit;11 Februari 2020;Jl. Rancabentang I No. 33 A RT 01/06;Sebuah Rumah 2 Lantai;Masih Dalam Penyelidikan;500000000;80
Sumur Bandung;Braga;17 Februari 2020;Jl. Suniaraja No. 52 RT 05 RW 05;Sebuah Panel Listrik;Masih Dalam Penyelidikan;500000;-
Regol;Balong Gede;24 Februari 2020;Jl. Ciguriang 48 (Tembusan Jl. Otista 357- Toko Inti Bangunan) RT 01/03;Tumbukan Bekas Simple Keramik;Masih Dalam Penyelidikan;1000000;1
Cidadap;Hegarmanah;25 Februari 2020;Bank Bukopin Jl. Dr. Setiabudi No. 170;MCB Listrik Bank Bukopin;Masih Dalam Penyelidikan;2000000;2
Coblong;Sadang Serang;25 Februari 2020;Jl. Puyuh Dalam RT 05 RW 11;3 (Tiga) Buah Rumah Warga;Masih Dalam Penyelidikan;525000000;147
Cibeunying Kidul;Cikutra;27 Februari 2020;Jl. Cikutra (Patokan Sebrang RS Santo Yusuf);Tiang Listrik;Masih Dalam Penyelidikan;500000;-
Buahbatu;Margasari;05 Maret 2020;Jl. Ciwastra No. 242;Sebuah Rumah Makan ayam Prabu;Masih Dalam Penyelidikan;5600000000;12
Astanaanyar;Karasak;08 Maret 2020;Jl. Karasak utara Gg. 7 No. 5 RT 05/01;MCB Listrik;Masih Dalam Penyelidikan;272000000;5
Kiaracondong;Sukapura;10 Maret 2020;Jl. Sukabakti No. 213 RT 02 RW 06;Sebuah Rumah Makan Cikutra;Diduga Dari Kebocoran Tabung Gas;200000000;4
Regol;Cigereleng;12 Maret 2020;Jl. Kembar 2 No. 36 RT 02 RW 06;Sebuah Rumah Makan Padang;Diduga Dari Kebocoran Tabung Gas;768500000;12
Cinambo;Sukamulya;13 Maret 2020;Jl. Rumah Sakit;Alang -  alang;Pembakaran Sampah;-;6
Cibeunying Kidul;Sukapada;16 Maret 2020;Jl. Sawah Baru RT 04 RW 09;Sebuah Mobil Bekas (Rongsok);Diduga Dari Tangki Bensin Terpapar Panas;-;6
Kiaracondong;Sukapura;17 Maret 2020;Jl. Sukapura No. 14e ( Rumah Dinas TNI ) RT 05/10;Sebuah Rumah;Masih Dalam Penyelidikan;160000000;20
Bojongloa Kaler;Jamika;19 Maret 2020;Jl. Jamika No. 5 ;Sebuah Ruko Pakaian Dewasa;Masih Dalam Penyelidikan;20090000000;60
Babakan Ciparay;Sukahaji;22 Maret 2020;Jl. Terusan Pasirkoja Gg. Satata Sariksa RT 08 RW 04;12 (Dua Belas) Buah Kontrakan;Masih Dalam Penyelidikan;190000000;300
Cibeunying Kidul;Cicadas;22 Maret 2020;Jl. Awibitung RT 01 RW 07;Gardu Listrik;Korsleting Listrik;-;-
Cicendo;Pasirkaliki;23 Maret 2020;Jl. Pajajaran No. 39 (Depan Service Center Oppo);Kabel Listrik ;Masih Dalam Penyelidikan;500000000;4
Coblong;Sekeloa;25 Maret 2020;Jl. Sekeloa Utara RT 01 RW 05;Kulkas dalam Kostan dan Bagian Dapur;Korsleting Listrik;300000000;2
