Date,Open,High,Low,Close,Volume,trading_volume
2015-04-01,40.6,40.76,40.31,40.72,36865322,low
2015-04-02,40.66,40.74,40.12,40.29,37487476,low
2015-04-06,40.34,41.78,40.18,41.55,39223692,low
2015-04-07,41.61,41.91,41.31,41.53,28809375,low
2015-04-08,41.48,41.69,41.04,41.42,24753438,low
2015-04-09,41.25,41.62,41.25,41.48,25723861,low
2015-04-10,41.63,41.95,41.41,41.72,28022002,low
2015-04-13,41.4,42.06,41.39,41.76,30276692,low
2015-04-14,41.8,42.03,41.39,41.65,24244382,low
2015-04-15,41.76,42.46,41.68,42.26,27343581,low
2015-04-16,41.95,42.34,41.82,42.16,22509652,low
2015-04-17,41.67,41.74,41.16,41.62,42387608,low
2015-04-20,41.73,43.17,41.68,42.91,46057733,medium
2015-04-21,43.0,43.15,42.53,42.64,26013844,low
2015-04-22,42.67,43.13,42.55,42.99,25064273,low
2015-04-23,42.85,43.61,42.8,43.34,46309530,medium
2015-04-24,45.66,48.14,45.65,47.87,130933665,high
2015-04-27,47.23,48.13,47.22,48.03,59248172,medium
2015-04-28,47.78,49.21,47.7,49.16,60730778,medium
2015-04-29,48.72,49.31,48.5,49.06,47804562,medium
2015-04-30,48.7,49.54,48.6,48.64,64725457,medium
2015-05-01,48.58,48.88,48.4,48.66,38937336,low
2015-05-04,48.37,48.87,48.18,48.24,34039485,low
2015-05-05,47.82,48.16,47.31,47.6,50369191,medium
2015-05-06,47.57,47.77,46.02,46.28,52433020,medium
2015-05-07,46.27,47.09,46.16,46.7,32971654,low
2015-05-08,47.55,47.98,47.52,47.75,35364911,low
2015-05-11,47.55,47.91,47.37,47.37,24609416,low
2015-05-12,46.85,47.68,46.42,47.35,29928264,low
2015-05-13,48.19,48.32,47.57,47.63,34184613,low
2015-05-14,48.03,48.82,48.03,48.72,32980892,low
2015-05-15,48.87,48.91,48.05,48.3,28642694,low
2015-05-18,47.98,48.22,47.61,48.01,24136502,low
2015-05-19,47.62,47.81,47.18,47.58,28574813,low
2015-05-20,47.39,47.93,47.27,47.58,25047919,low
2015-05-21,47.28,47.6,47.01,47.42,22410698,low
2015-05-22,47.3,47.35,46.82,46.9,25720583,low
2015-05-26,46.83,46.88,46.19,46.59,29581860,low
2015-05-27,46.82,47.77,46.62,47.61,27335639,low
2015-05-28,47.5,48.02,47.39,47.45,19283666,low
2015-05-29,47.43,47.57,46.59,46.86,36519594,low
2015-06-01,47.06,47.77,46.62,47.23,28837332,low
2015-06-02,46.95,47.35,46.62,46.92,21498326,low
2015-06-03,47.37,47.74,46.82,46.85,28002154,low
2015-06-04,46.79,47.16,46.2,46.36,27745512,low
2015-06-05,46.31,46.52,45.84,46.14,25438086,low
2015-06-08,46.3,46.43,45.67,45.73,22121634,low
2015-06-09,45.76,45.94,45.46,45.65,24406057,low
2015-06-10,45.79,46.83,45.69,46.61,28417405,low
2015-06-11,46.66,46.92,46.13,46.44,27347758,low
2015-06-12,46.2,46.47,45.9,45.97,23930972,low
2015-06-15,45.45,45.65,45.02,45.48,33254517,low
2015-06-16,45.35,46.24,45.3,45.83,27070306,low
2015-06-17,45.73,46.07,45.36,45.97,28704061,low
2015-06-18,46.22,46.8,46.17,46.72,32658343,low
2015-06-19,46.79,46.83,45.99,46.1,63837036,medium
2015-06-22,46.33,46.72,46.16,46.23,20318055,low
2015-06-23,46.13,46.28,45.62,45.91,25896473,low
2015-06-24,45.68,46.25,45.55,45.64,34890901,low
2015-06-25,46.03,46.06,45.5,45.65,20615995,low
2015-06-26,45.65,46.28,45.03,45.26,49835287,medium
2015-06-29,45.04,45.23,44.36,44.37,34081746,low
2015-06-30,44.71,44.72,43.94,44.15,35945384,low
2015-07-01,44.49,45.23,44.1,44.45,28343907,low
2015-07-02,44.48,44.75,44.06,44.4,21752013,low
2015-07-06,43.96,44.48,43.95,44.39,23033961,low
2015-07-07,44.34,44.49,43.32,44.3,36435827,low
2015-07-08,44.44,44.9,44.03,44.24,39785901,low
2015-07-09,44.75,45.22,44.5,44.52,32424672,low
2015-07-10,45.01,45.14,44.57,44.61,25465757,low
2015-07-13,44.98,45.62,44.95,45.54,28178329,low
2015-07-14,45.45,45.96,45.31,45.62,22880260,low
2015-07-15,45.68,45.89,45.43,45.76,26629615,low
2015-07-16,46.01,46.69,45.97,46.66,26271673,low
2015-07-17,46.55,46.78,46.26,46.62,29467107,low
2015-07-20,46.65,47.13,46.44,46.92,30631905,low
2015-07-21,46.78,47.33,46.48,47.28,42781899,low
2015-07-22,45.44,46.93,45.2,45.54,59152427,medium
2015-07-23,45.27,46.23,45.1,46.11,33934010,low
2015-07-24,45.91,46.32,45.8,45.94,32333244,low
2015-07-27,45.94,46.01,45.25,45.35,39701420,low
2015-07-28,45.58,45.64,44.79,45.34,34328948,low
2015-07-29,45.4,46.78,45.26,46.29,40945864,low
2015-07-30,46.26,47.4,45.93,46.88,39777883,low
2015-07-31,47.29,47.37,46.5,46.7,31201480,low
2015-08-03,46.98,47.0,46.45,46.81,24125886,low
2015-08-04,46.75,47.71,46.68,47.54,33403916,low
2015-08-05,47.98,48.41,47.54,47.58,26959655,low
2015-08-06,47.71,47.77,46.33,46.62,27368000,low
2015-08-07,46.39,46.78,46.26,46.74,19163038,low
2015-08-10,46.95,47.49,46.84,47.33,23079870,low
2015-08-11,46.82,46.94,45.9,46.41,29237402,low
2015-08-12,46.19,46.9,45.71,46.74,30198532,low
2015-08-13,47.06,47.1,46.49,46.73,22627241,low
2015-08-14,46.53,47.1,46.52,47.0,21473402,low
2015-08-17,46.81,47.45,46.57,47.32,21099746,low
2015-08-18,46.84,47.43,46.7,47.27,23574104,low
2015-08-19,46.78,47.08,46.3,46.61,31485511,low
2015-08-20,46.07,46.47,45.66,45.66,36238227,low
2015-08-21,45.3,45.48,43.07,43.07,70053084,medium
2015-08-24,40.45,43.31,39.72,41.68,88753660,medium
2015-08-25,42.57,43.24,40.39,40.47,70616597,medium
2015-08-26,42.01,42.84,41.06,42.71,63407996,medium
2015-08-27,43.23,43.95,42.93,43.9,50943211,medium
2015-08-28,43.4,44.15,43.39,43.93,28246725,low
2015-08-31,43.56,43.93,43.1,43.52,34441662,low
2015-09-01,42.17,42.59,41.66,41.82,49688896,medium
2015-09-02,42.36,43.38,41.88,43.36,37671518,low
2015-09-03,43.41,43.98,43.28,43.5,28285205,low
2015-09-04,42.81,43.04,42.2,42.61,37138775,low
2015-09-08,43.3,44.0,43.2,43.89,32469766,low
2015-09-09,44.21,44.4,42.91,43.07,33469485,low
2015-09-10,43.12,43.79,42.75,43.29,31366630,low
2015-09-11,43.14,43.59,42.94,43.48,27132527,low
2015-09-14,43.43,43.44,42.86,43.04,23656048,low
2015-09-15,43.19,44.29,43.08,43.98,28882206,low
2015-09-16,43.97,44.38,43.84,44.3,23372162,low
2015-09-17,44.29,45.0,44.08,44.25,32768161,low
2015-09-18,43.5,43.99,43.33,43.48,63143684,medium
2015-09-21,43.62,44.47,43.6,44.11,26177224,low
2015-09-22,43.38,44.05,43.31,43.9,28085903,low
2015-09-23,43.93,44.17,43.51,43.87,17145238,low
2015-09-24,43.45,44.13,43.27,43.91,27905607,low
2015-09-25,44.48,44.73,43.76,43.94,29384601,low
2015-09-28,43.83,44.09,43.21,43.29,27613785,low
